lte_name;lte_type;L;K_or_angle;hw_types;n_entries;comment
BPM;MONI;;;(skip);0;
DL1A_1;CSBEND;0.4178279443301234;angle=0.0023391941346895, K1=0;DP_L_PM;1;
DL1A_2;CSBEND;0.4178280841284446;angle=0.0032191941346895, K1=0;DP_L_PM;1;
DL1A_3;CSBEND;0.4178282753284344;angle=0.0041391941346895, K1=0;DP_L_PM;1;
DL1A_4;CSBEND;0.4178286423213368;angle=0.0054991941346895, K1=0;DP_L_PM;1;
DL1A_5;CSBEND;0.4178302891796566;angle=0.0094691022946895, K1=0;DP_L_PM;1;
DL1E_1;CSBEND;0.4178279443301234;angle=0.0023391941346895, K1=0;DP_L_PM;1;
DL1E_2;CSBEND;0.4178280841284446;angle=0.0032191941346895, K1=0;DP_L_PM;1;
DL1E_3;CSBEND;0.4178282753284344;angle=0.0041391941346895, K1=0;DP_L_PM;1;
DL1E_4;CSBEND;0.4178286423213368;angle=0.0054991941346895, K1=0;DP_L_PM;1;
DL1E_5;CSBEND;0.4178302891796566;angle=0.0094691022946895, K1=0;DP_L_PM;1;
DL2B_1;CSBEND;0.4178279443301234;angle=0.0023391941346895, K1=0;DP_L_PM;1;
DL2B_2;CSBEND;0.4178280841284446;angle=0.0032191941346895, K1=0;DP_L_PM;1;
DL2B_3;CSBEND;0.4178282753284344;angle=0.0041391941346895, K1=0;DP_L_PM;1;
DL2B_4;CSBEND;0.4178286423213368;angle=0.0054991941346895, K1=0;DP_L_PM;1;
DL2B_5;CSBEND;0.4178294192740687;angle=0.0076291022946895, K1=0;DP_L_PM;1;
DL2D_1;CSBEND;0.4178279443301234;angle=0.0023391941346895, K1=0;DP_L_PM;1;
DL2D_2;CSBEND;0.4178280841284446;angle=0.0032191941346895, K1=0;DP_L_PM;1;
DL2D_3;CSBEND;0.4178282753284344;angle=0.0041391941346895, K1=0;DP_L_PM;1;
DL2D_4;CSBEND;0.4178286423213368;angle=0.0054991941346895, K1=0;DP_L_PM;1;
DL2D_5;CSBEND;0.4178294192740687;angle=0.0076291022946895, K1=0;DP_L_PM;1;
DMB;EDRIFT;0.0705;;(skip);0;
DQ1B;CSBEND;1.0;angle=0.0247680586728496, K1=-1.960219550894432;DQ_I1_1A|DQ_I2_1A|DQ_I3_1A;3;
DQ1D;CSBEND;1.0;angle=0.0247680586728496, K1=-1.960219550894432;DQ_I1_1A|DQ_I2_1A|DQ_I3_1A;3;
