group_id;part_id;m;q;x;y;z;vx;vy;vz
1;2;9.109e-31;-1.602e-19;0.0;0.0;0.0;2.967e8;0.0;0.0
1;3;9.109e-31;-1.602e-19;0.0;0.001;0.0;2.967e8;0.0;0.0
1;4;9.109e-31;-1.602e-19;0.0;-0.001;0.0;2.967e8;0.0;0.0
1;5;9.109e-31;-1.602e-19;0.0;0.0;0.001;2.967e8;0.0;0.0
1;6;9.109e-31;-1.602e-19;0.0;0.0;-0.001;2.967e8;0.0;0.0
2;2;9.109e-31;-1.602e-19;0.0;0.0;0.0;2.967e8;0.0;0.0
3;2;9.109e-31;-1.602e-19;80.161210;333.895372;0.000000;-2.6436e+08;1.3470e+08;0.0
3;3;9.109e-31;-1.602e-19;80.160756;333.894481;0.000000;-2.6436e+08;1.3470e+08;0.0
3;4;9.109e-31;-1.602e-19;80.161664;333.896263;0.000000;-2.6436e+08;1.3470e+08;0.0
3;5;9.109e-31;-1.602e-19;80.161210;333.895372;0.001000;-2.6436e+08;1.3470e+08;0.0
3;6;9.109e-31;-1.602e-19;80.161210;333.895372;-0.001000;-2.6436e+08;1.3470e+08;0.0
